description,deployed,phrase_count,doc_type,source,type,createdOn,enabled,matching,rollup,display_type,search_terms,effective_range,word_count,review,param_keys,banner_url,id,use_qec,confidence,groups,updatedOn,priority,param_values,field_name,_version_,sourceType,param_policies,name,surface_form,redirect_url,field_values
samsung support - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,intensity,,,approved,,"<a href=""//www.verizonwireless.com/support/samsung/?intcmp=INT-SEA-NON-SE-samsung-070215-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-samsung-070215-MO-SR-SU-BO"" search-banner=""samsung support - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-samsung-082615-m?$jpeg80$&scl=1' alt='Samsung Support' title='Samsung Support' style='width:100%'></a>",2d86953f-9c06-4540-a6ab-db5e31df182f,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779832320003,,,intensity-mobile,,,
nest cam - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,cam,,,approved,,"<a href=""//www.verizonwireless.com/accessories/nest/?intcmp=INT-SEA-NON-CS-nest_cam-061715-MO-SR-DV-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-nest_cam-061715-MO-SR-DV-BO"" search-banner=""nest cam - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-nest-m-110615?$jpeg100$&scl=1' alt='Shop Nest' title='Shop Nest' style='width:100%'></a>",2d8743e5-4bc4-469b-bd6e-a43154eb34ce,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779832320004,,,cam-mobile,,,
cancel - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,cancel,,,approved,,"<a href=""tel:18002228588?intcmp=INT-SEA-NON-WB-cancel-042415-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-WB-cancel-042415-MO-SR-LP-BO"" search-banner=""cancel - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-mobile-customer?$jpeg80$&scl=1' alt='We are not satisfied until you are.  Talk to us now 1-800-222-8588?' title='We are not satisfied until you are.  Talk to us now 1-800-222-8588?' style='width:100%'></a>",2dcb7d3f-1200-4cca-aba4-98fff22811a6,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779833368576,,,cancel-mobile,,,
blackberry support - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,black berry,,,approved,,"<a href=""//www.verizonwireless.com/support/blackberry/?intcmp=INT-SEA-NON-SE-blackberry_support-071315-DE-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-blackberry_support-071315-DE-SR-SU-BO"" search-banner=""blackberry support - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-blackberry-m-110615?$jpeg100$&scl=1' alt='Blackberry Support' title='Blackberry Support' style='width:100%'></a>",2dcb90af-9b58-43b4-abea-125396939bd9,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779833368577,,,black-berry-mobile,,,
discount,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,discounts,,,approved,,"<a href=""//www.verizonwireless.com/b2c/employee/eleuLanding.jsp?intcmp=INT-SEA-NON-AC-discount-04232015-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-AC-discount-04232015-DE-SR-LP-T"" search-banner=""discount""><img src='https://ss7.vzw.com/is/image/VerizonWireless/d-search-banner-discounts?$jpeg80$&scl=1' alt='Verizon Discounts' title='Verizon Discounts' style='width:100%'></a>",2e4a48f1-fa5c-4531-a874-9c5719dbdee3,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779833368578,,,discounts-desktop,,,
vz messages,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,eGifting,,,approved,,"<a href=""//www.verizonwireless.com/landingpages/verizon-messages/?intcmp=INT-SEA-NON-SE-vz_messages-10152015-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-SE-vz_messages-10152015-DE-SR-LP-T"" search-banner=""vz messages""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-vzmessage-082615-1?$defaultscalejpg$' alt='Seamless TEXTING. Synchronize your tests across multiple devices, even your computer, only on Verizon Messages' title='Seamless TEXTING. Synchronize your tests across multiple devices, even your computer, only on Verizon Messages' style='width:100%'></a>",2e729994-f712-4d0d-b5c5-a07dbabe7ac5,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779833368579,,,eGifting-desktop,,,
gtm 4g internet,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,4g,,,approved,,"<a href=""//www.verizonwireless.com/b2c/lte-internet-installed/?intcmp=INT-SEA-NON-CS-4g_internet-06252015-DE-SR-DV-T"" campaign-code=""intcmp=INT-SEA-NON-CS-4g_internet-06252015-DE-SR-DV-T"" search-banner=""gtm 4g internet""><img src='//ss7.vzw.com/is/image/VerizonWireless/4g-lte-icon-nov182015-search-d?$pngalpha$&scl=1' alt='LTE Interned Installed' title='LTE Interned Installed' style='width:100%'></a>",2ec513b1-5944-4535-8949-8d63f5fa2d13,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779833368580,,,4g-desktop,,,
gtm iphone 6s plus gng - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,6s plus case,,,approved,,"<a href=""http://www.verizonwireless.com/accessories/iphone-6s-plus/?intcmp=INT-SEA-NON-CS-iphone_6s_plus_gng-09092015-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-iphone_6s_plus_gng-09092015-MO-SR-LP-BO"" search-banner=""gtm iphone 6s plus gng - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/site-search-iphone6s-plus-accy-po-m?$defaultScaleJPG$' alt='iPhone 6s Plus Accessories' title='iPhone 6s Plus Accessories' style='width:100%'></a>",2f18d2bb-a27c-4e69-b39b-467dad076c80,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779833368581,,,6s-plus-case-mobile,,,
cloud - support,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,back up,,,approved,,"<a href=""//www.verizonwireless.com/support/verizon-cloud-faqs/?intcmp=INT-SEA-NON-SE-cloud_support-112414-DE-SR-SU-T"" campaign-code=""intcmp=INT-SEA-NON-SE-cloud_support-112414-DE-SR-SU-T"" search-banner=""cloud - support""><img src='https://ss7.vzw.com/is/image/VerizonWireless/d-search-banner-cloud-support?$jpeg80$&scl=1' alt='Learn about Verizon Cloud.' title='Learn about Verizon Cloud.' style='width:100%'></a>",3012459b-be2c-423e-9db7-686081f90b79,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779834417152,,,back-up-desktop,,,
gtm droid turbo 2 maxx 2 accessories - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,droid accessories,,,approved,,"<a href=""//www.verizonwireless.com/accessories/?intcmp=INT-SEA-NON-CS-droidturbo2maxx2accessories-102915-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-droidturbo2maxx2accessories-102915-MO-SR-LP-BO"" search-banner=""gtm droid turbo 2 maxx 2 accessories - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/site-search-banner-m-9919-10202015?$defaultScaleJPG$' alt='?Accessorize your DROID Turbo 2 and Maxx 2' title='?Accessorize your DROID Turbo 2 and Maxx 2' style='width:100%'></a>",30742e86-865f-44f3-925f-0097fcf8cfe9,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779834417153,,,droid-accessories-mobile,,,
samsung support - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,nexus,,,approved,,"<a href=""//www.verizonwireless.com/support/samsung/?intcmp=INT-SEA-NON-SE-samsung-070215-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-samsung-070215-MO-SR-SU-BO"" search-banner=""samsung support - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-samsung-082615-m?$jpeg80$&scl=1' alt='Samsung Support' title='Samsung Support' style='width:100%'></a>",30a6c693-04f1-48bc-868a-ed74f3ed9cd7,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779834417154,,,nexus-mobile,,,
go90app - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,go90,,,approved,,"<a href=""http://www.verizonwireless.com/landingpages/go90/?intcmp=INT-SEA-NON-CS-go90app-092815-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-go90app-092815-MO-SR-LP-BO"" search-banner=""go90app - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/banner-search-mobile-go90-091015?$defaultScale$' alt='Get Go90App' title='Get Go90App' style='width:100%'></a>",30acbc7c-1a4e-4396-be5d-37c2b2c6238d,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779834417155,,,go90-mobile,,,
cancel,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,cancel,,,approved,,"<a href=""//www.verizonwireless.com/wcms/myverizon/customer-retention.html?intcmp=INT-SEA-NON-WB-cancel-042415-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-WB-cancel-042415-DE-SR-LP-T"" search-banner=""cancel""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-customer?$defaultScaleJPG$' alt='We are not satisfied until you are.  Talk to us now 1-800-222-8588' title='We are not satisfied until you are.  Talk to us now 1-800-222-8588' style='width:100%'></a>",30d7dcd6-a507-4926-a925-1d3965ac372e,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779834417156,,,cancel-desktop,,,
beats by dre,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,powerbeats2,,,approved,,"<a href=""//www.verizonwireless.com/accessories/beats/?intcmp=INT-SEA-NON-CS-beats_by_dre-011215-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-beats_by_dre-011215-DE-SR-LP-T"" search-banner=""beats by dre""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-beats-d-110415?$jpeg100$&scl=1' alt='Beats by Dre' title='Beats by Dre' style='width:100%'></a>",312dbe36-37f1-4084-bc37-d56b017913db,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779834417157,,,powerbeats2-desktop,,,
samsung support,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,gear,,,approved,,"<a href=""//www.verizonwireless.com/support/samsung/?intcmp=INT-SEA-NON-SE-samsung-070215-DE-SR-SU-T"" campaign-code=""intcmp=INT-SEA-NON-SE-samsung-070215-DE-SR-SU-T"" search-banner=""samsung support""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-samsung-082615-m?$jpeg80$&scl=1' alt='Samsung Support' title='Samsung Support' style='width:100%'></a>",317fec99-fa34-496e-8808-14d606300420,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779835465728,,,gear-desktop,,,
securing mobile device,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,private,,,approved,,"<a href=""//www.verizonwireless.com/support/securing-your-mobile-device/?intcmp=INT-SEA-NON-SE-securing_mobile_device-031815-DE-SR-SU-T"" campaign-code=""intcmp=INT-SEA-NON-SE-securing_mobile_device-031815-DE-SR-SU-T"" search-banner=""securing mobile device""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-security-d?$jpeg100$&scl=1' alt='Protect your personal information from theft, loss and threats.' title='Protect your personal information from theft, loss and threats.' style='width:100%'></a>",31b8be5b-1112-410b-af33-eaeb1000d08c,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779835465729,,,private-desktop,,,
global pricing international,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,bermuda,,,approved,,"<a href=""//www.verizonwireless.com/landingpages/international-travel/?intcmp=INT-SEA-NON-CS-global_pricing_international-053115-DE-SR-PP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-global_pricing_international-053115-DE-SR-PP-T"" search-banner=""global pricing international""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-banner-international-2x?$jpeg80$&scl=2' alt='INTERNATIONAL TRAVEL PLANS' title='INTERNATIONAL TRAVEL PLANS' style='width:100%'></a>",31c01005-5964-499c-8367-0a08cd1f6b5b,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779835465730,,,bermuda-desktop,,,
securing mobile device - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,private,,,approved,,"<a href=""//www.verizonwireless.com/support/securing-your-mobile-device/?intcmp=INT-SEA-NON-SE-securing_mobile_device-031815-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-securing_mobile_device-031815-MO-SR-SU-BO"" search-banner=""securing mobile device - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-security-m?$jpeg100$&scl=1' alt='Protect your personal information from theft, loss and threats.' title='Protect your personal information from theft, loss and threats.' style='width:100%'></a>",3374bb9d-c7bc-40c9-9e01-f216120f5f87,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779835465731,,,private-mobile,,,
global pricing international,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,costa rica,,,approved,,"<a href=""//www.verizonwireless.com/landingpages/international-travel/?intcmp=INT-SEA-NON-CS-global_pricing_international-053115-DE-SR-PP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-global_pricing_international-053115-DE-SR-PP-T"" search-banner=""global pricing international""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-banner-international-2x?$jpeg80$&scl=2' alt='INTERNATIONAL TRAVEL PLANS' title='INTERNATIONAL TRAVEL PLANS' style='width:100%'></a>",3472ab13-b749-4e87-be88-5972f7ec7b7c,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779835465732,,,costa-rica-desktop,,,
reconnect service,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,restore service,,,approved,,"<a href=""https://www.verizonwireless.com/support/reconnect-service-faqs/?intcmp=INT-SEA-NON-SE-reconnect-091114-DE-SR-SU-T"" campaign-code=""intcmp=INT-SEA-NON-SE-reconnect-091114-DE-SR-SU-T"" search-banner=""reconnect service""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-reconnect-d?$jpeg100$&scl=1' alt='My Verizon RECONNECT A DEVICE' title='My Verizon RECONNECT A DEVICE' style='width:100%'></a>",34da7f63-bd63-4fd2-a673-5d0f34eebf5f,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779835465733,,,restore-service-desktop,,,
deals - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,promotions,,,approved,,"<a href=""//www.verizonwireless.com/deals-landing/?intcmp=INT-SEA-NON-CS-deals-100815-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-deals-100815-MO-SR-LP-BO"" search-banner=""deals - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-m-deals-2x?$defaultscalejpg$' alt='??Shop deals' title='??Shop deals' style='width:100%'></a>",360bff3c-50ec-477f-968b-da43f5b9a43a,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779836514304,,,promotions-mobile,,,
backup assistant plus,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,backup assistant,,,approved,,"<a href=""//support.verizonwireless.com/support/faqs/FeaturesandOptionalServices/backup_assistant_plus.html?intcmp=INT-SEA-NON-SE-backup_assistant_plus-091114-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-SE-backup_assistant_plus-091114-DE-SR-LP-T"" search-banner=""backup assistant plus""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-backup-assistant?$defaultScaleJPG$' alt='Backup Assistant Plus - SAVE YOUR FILES' title='Backup Assistant Plus - SAVE YOUR FILES' style='width:100%'></a>",36198a83-1072-4dcb-b9b3-1fa088a64c42,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779836514305,,,backup-assistant-desktop,,,
samsung support - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,stratosphere,,,approved,,"<a href=""//www.verizonwireless.com/support/samsung/?intcmp=INT-SEA-NON-SE-samsung-070215-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-samsung-070215-MO-SR-SU-BO"" search-banner=""samsung support - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-samsung-082615-m?$jpeg80$&scl=1' alt='Samsung Support' title='Samsung Support' style='width:100%'></a>",3640f09f-b18e-4ce1-9566-b8056e7f9312,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779836514306,,,stratosphere-mobile,,,
advanced calling,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,volte,,,approved,,"<a href=""//www.verizonwireless.com/wcms/consumer/advanced-calling.html?intcmp=INT-SEA-NON-SE-advanced_calling-041115-DE-SR-PP-T"" campaign-code=""intcmp=INT-SEA-NON-SE-advanced_calling-041115-DE-SR-PP-T"" search-banner=""advanced calling""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-hd-calling?$defaultScaleJPG$' alt='HD Voice and Video Calling.  Introducing a whole new way to experience calling on America's largest and most reliable 4G LTE network' title='HD Voice and Video Calling.  Introducing a whole new way to experience calling on America's largest and most reliable 4G LTE network' style='width:100%'></a>",37f90f4e-28c7-4e28-8dc3-fef6433f5a81,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779836514307,,,volte-desktop,,,
blackberry support - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,blackberry,,,approved,,"<a href=""//www.verizonwireless.com/support/blackberry/?intcmp=INT-SEA-NON-SE-blackberry_support-071315-DE-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-blackberry_support-071315-DE-SR-SU-BO"" search-banner=""blackberry support - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-blackberry-m-110615?$jpeg100$&scl=1' alt='Blackberry Support' title='Blackberry Support' style='width:100%'></a>",384f18d1-cfa1-4400-aeaa-506a93589191,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779836514308,,,blackberry-mobile,,,
vz messages,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,tablet calling,,,approved,,"<a href=""//www.verizonwireless.com/landingpages/verizon-messages/?intcmp=INT-SEA-NON-SE-vz_messages-10152015-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-SE-vz_messages-10152015-DE-SR-LP-T"" search-banner=""vz messages""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-vzmessage-082615-1?$defaultscalejpg$' alt='Seamless TEXTING. Synchronize your tests across multiple devices, even your computer, only on Verizon Messages' title='Seamless TEXTING. Synchronize your tests across multiple devices, even your computer, only on Verizon Messages' style='width:100%'></a>",38509fbf-f6a7-4e4f-8468-4c1838b3c93f,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779836514309,,,tablet-calling-desktop,,,
gtm iphone 6s plus gng - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,6s plus accessories,,,approved,,"<a href=""http://www.verizonwireless.com/accessories/iphone-6s-plus/?intcmp=INT-SEA-NON-CS-iphone_6s_plus_gng-09092015-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-iphone_6s_plus_gng-09092015-MO-SR-LP-BO"" search-banner=""gtm iphone 6s plus gng - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/site-search-iphone6s-plus-accy-po-m?$defaultScaleJPG$' alt='iPhone 6s Plus Accessories' title='iPhone 6s Plus Accessories' style='width:100%'></a>",38b2094b-d856-427f-b170-3b15e8e3e54f,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779837562880,,,6s-plus-accessories-mobile,,,
applecare,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,ac,,,approved,,"<a href=""https://community.verizonwireless.com/community/apple?intcmp=INT-SEA-NON-SE-applecare-070215-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-SE-applecare-070215-DE-SR-LP-T"" search-banner=""applecare""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-applecare-d-110615?$jpeg100$&scl=1' alt='AppleCare' title='AppleCare' style='width:100%'></a>",38ca42e9-a6c4-480a-94f5-69bee583d6a1,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779837562881,,,ac-desktop,,,
gtm verizon plan update - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,more everything,,,approved,,"<a href=""//www.verizonwireless.com/landingpages/verizon-plan/?intcmp=INT-SEA-NON-AC-verizon_plan-081315-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-AC-verizon_plan-081315-MO-SR-LP-BO"" search-banner=""gtm verizon plan update - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-xxl-092215-m?$pngalpha$&scl=1' alt='Verizon Plan' title='Verizon Plan' style='width:100%'></a>",39005492-c1b8-417c-8d96-8f9627741ce0,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779837562882,,,more-everything-mobile,,,
global pricing international,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,ireland,,,approved,,"<a href=""//www.verizonwireless.com/landingpages/international-travel/?intcmp=INT-SEA-NON-CS-global_pricing_international-053115-DE-SR-PP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-global_pricing_international-053115-DE-SR-PP-T"" search-banner=""global pricing international""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-banner-international-2x?$jpeg80$&scl=2' alt='INTERNATIONAL TRAVEL PLANS' title='INTERNATIONAL TRAVEL PLANS' style='width:100%'></a>",39372c34-04d0-47cf-8be5-3c41407f22c3,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779837562883,,,ireland-desktop,,,
parrot drones - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,night,,,approved,,"<a href=""//www.verizonwireless.com/accessories/parrot/?intcmp=INT-SEA-NON-CS-parrot_drones-110115-MO-SR-DV-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-parrot_drones-110115-MO-SR-DV-BO"" search-banner=""parrot drones - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/site-search-9834-parrot-m?$defaultScaleJPG$' alt='Shop ParrotÃ MiniDrones. Parrot Airborne Night and Jumping Race' title='Shop ParrotÃ MiniDrones. Parrot Airborne Night and Jumping Race' style='width:100%'></a>",3a17b42e-63cf-4a74-9eab-353074ac4e7a,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779837562884,,,night-mobile,,,
voicemail,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,voicemail,,,approved,,"<a href=""//www.verizonwireless.com/support/voice-mail-faqs/?intcmp=INT-SEA-NON-SE-voicemail-121514-DE-SR-SU-T"" campaign-code=""intcmp=INT-SEA-NON-SE-voicemail-121514-DE-SR-SU-T"" search-banner=""voicemail""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-voicemail-082615?$jpeg80$&scl=1' alt='FAQs about VOICEMAIL' title='FAQs about VOICEMAIL' style='width:100%'></a>",3a37734e-1ffe-438b-94a0-9f0905d64f5d,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779837562885,,,voicemail-desktop,,,
advanced calling,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,hd voice,,,approved,,"<a href=""//www.verizonwireless.com/wcms/consumer/advanced-calling.html?intcmp=INT-SEA-NON-SE-advanced_calling-041115-DE-SR-PP-T"" campaign-code=""intcmp=INT-SEA-NON-SE-advanced_calling-041115-DE-SR-PP-T"" search-banner=""advanced calling""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-hd-calling?$defaultScaleJPG$' alt='HD Voice and Video Calling.  Introducing a whole new way to experience calling on America's largest and most reliable 4G LTE network' title='HD Voice and Video Calling.  Introducing a whole new way to experience calling on America's largest and most reliable 4G LTE network' style='width:100%'></a>",3a7894b8-0746-4bbe-a153-eee11bf301e7,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779837562886,,,hd-voice-desktop,,,
apple support - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,ipad,,,approved,,"<a href=""//www.verizonwireless.com/support/apple/?intcmp=INT-SEA-NON-SE-apple_support-070215-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-apple_support-070215-MO-SR-SU-BO"" search-banner=""apple support - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-mobile-apple?$jpeg80$&scl=1' alt='Apple Support' title='Apple Support' style='width:100%'></a>",3af68089-23a9-48ed-9f87-cfa4baef3885,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779838611456,,,ipad-mobile,,,
flip phones - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,?flip phones,,,approved,,"<a href=""//www.verizonwireless.com/basic-phones/?intcmp=INT-SEA-NON-CS-flipphones-100815-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-flipphones-100815-MO-SR-LP-BO"" search-banner=""flip phones - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-m-flip-phones-2x?$defaultscalejpg$' alt='?Shop basic phones' title='?Shop basic phones' style='width:100%'></a>",3bfa24c6-fff0-4fca-8834-2022f6566960,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779838611457,,,?flip-phones-mobile,,,
family base product,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,kids text,,,approved,,"<a href=""https://my.verizonwireless.com/vzw/nos/safeguards/SafeguardProductDetails.action?productName=familybase&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" campaign-code=""&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" search-banner=""family base product""><img src='https://ss7.vzw.com/is/image/VerizonWireless/d-search-banner-family-base?$jpeg80$&scl=1' alt='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' title='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' style='width:100%'></a>",3bfcbb26-5dcd-457b-991b-3afc7aed41c5,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779838611458,,,kids-text-desktop,,,
app finder,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,appfinder,,,approved,,"<a href=""//www.verizonwireless.com/app-reviews?intcmp=INT-SEA-NON-CS-app_finder-072215-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-app_finder-072215-DE-SR-LP-T"" search-banner=""app finder""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-app-finder?$defaultScaleJPG$' alt='App Reviews' title='App Reviews' style='width:100%'></a>",3c4cfcb9-6b7d-43f7-866d-f3c4196f57a4,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779838611459,,,appfinder-desktop,,,
